	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30
ASV39	0	0	0	0	0	0	0	4	2	0	0	0	0	96	0	0	46	0	3414	0	0	0	0	0	0	0	0	0	0	0
ASV40	0	0	0	0	49	66	334	158	115	0	0	0	0	0	0	0	0	0	0	12	0	122	0	435	280	0	1905	6	0	0
ASV41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	38	789	762	0	6	12	1188	513	0
ASV42	2	14	308	370	13	0	28	584	251	27	120	210	149	45	26	41	144	218	219	291	0	23	22	0	24	9	0	174	17	10
ASV43	0	0	142	57	0	0	0	482	1668	0	10	0	6	14	0	16	10	13	42	0	0	0	25	253	4	19	11	384	116	0
ASV44	0	0	0	0	0	0	0	0	0	0	603	789	0	0	282	307	944	23	0	226	0	0	0	0	0	0	37	0	0	0
ASV45	0	0	0	0	0	0	0	0	0	0	10	7	116	303	0	9	0	157	596	0	0	0	531	266	0	0	0	763	407	0
ASV46	0	0	0	0	0	0	0	0	0	0	107	166	161	271	71	93	107	246	250	0	563	416	0	0	221	177	185	0	0	0
ASV47	0	2	0	0	0	0	25	23	10	0	75	93	3	0	117	123	286	8	0	20	541	375	0	24	440	378	461	0	0	17
ASV48	7	0	47	108	20	2	70	68	41	0	32	0	173	174	28	20	18	36	60	0	165	1011	0	88	275	228	141	92	17	0
ASV49	0	0	0	0	0	0	0	0	0	0	516	799	0	0	334	238	683	0	11	234	0	0	0	0	0	31	19	0	12	0
ASV50	1	0	0	0	0	0	0	0	0	0	44	7	0	4	5	3	19	0	2	0	917	660	0	0	380	393	323	0	0	0
ASV51	0	0	0	0	0	13	0	0	0	0	60	44	4	0	8	6	8	3	0	0	989	680	0	5	315	310	295	0	0	0
ASV52	3	8	164	153	7	6	41	246	163	484	64	52	459	11	21	31	85	218	160	87	5	19	33	20	32	8	8	90	15	0
ASV53	0	0	963	290	0	0	0	922	349	0	21	17	23	0	2	0	16	17	24	34	0	0	0	9	0	0	0	0	0	0
ASV54	70	104	57	28	257	189	38	23	8	248	95	65	13	42	29	96	382	0	35	34	113	90	31	85	76	89	89	54	83	156
ASV55	26	0	0	0	0	0	0	11	0	0	274	257	0	2	244	293	734	0	10	38	352	208	0	0	109	74	39	0	0	0
ASV56	0	0	31	5	0	0	0	360	2213	0	0	12	0	0	0	0	0	0	6	25	0	0	0	8	0	0	0	0	0	0
ASV57	9	3	59	19	0	0	21	849	1495	0	6	0	2	0	0	13	32	23	13	0	0	0	0	37	8	0	0	41	9	0
ASV58	0	0	22	0	0	0	0	10	0	0	0	0	9	38	0	0	0	2140	241	0	0	16	0	0	0	63	0	0	0	0
ASV59	0	0	0	0	0	11	0	0	0	0	0	0	39	14	0	0	0	72	24	0	0	0	55	73	0	0	0	2104	70	0
ASV60	0	0	0	0	0	0	0	16	5	0	0	19	163	129	0	14	26	139	1403	4	0	0	58	229	0	0	2	175	36	0
ASV61	0	0	247	180	0	0	22	362	207	446	21	28	322	0	0	0	31	203	167	94	0	0	9	0	0	8	10	60	0	0
ASV62	9	0	157	107	0	0	0	244	83	29	7	25	54	20	0	0	51	58	63	9	783	60	35	77	102	99	79	216	16	3
ASV63	0	0	247	113	0	0	0	1024	432	0	0	0	30	2	0	0	0	123	123	0	0	0	9	154	0	0	0	87	40	0
ASV64	11	0	0	25	0	15	0	43	30	0	89	39	59	32	282	71	41	27	76	5	132	439	28	0	302	308	208	22	29	0
ASV65	0	0	11	17	0	0	0	155	35	0	29	30	152	19	0	12	82	53	103	20	484	442	16	178	104	64	128	88	34	53
ASV66	0	0	0	7	0	0	25	10	1	53	133	155	0	0	118	109	181	0	4	0	423	265	0	20	238	279	172	0	100	3
ASV67	0	0	198	96	0	0	0	837	409	0	0	0	76	71	0	0	0	82	192	0	0	0	31	32	0	0	0	162	35	0
ASV68	0	0	0	0	0	0	0	0	0	0	10	7	0	5	11	0	0	0	0	0	320	338	18	312	101	88	367	82	254	271
ASV69	0	0	0	0	0	0	0	0	0	0	0	2	0	220	0	0	0	7	1932	0	0	0	0	0	0	0	0	0	0	0
ASV70	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	20	0	0	0	0	0	6	0	0	2062	12	0	0	0	0
ASV71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	598	929	8	0	20	118	364	0
ASV72	0	0	8	2	0	0	0	6	4	0	92	139	174	130	46	39	106	32	109	0	324	339	43	35	174	92	101	0	26	0
ASV73	0	8	101	43	0	4	0	73	91	0	15	18	20	9	9	33	52	194	66	29	138	249	0	0	353	292	173	18	12	0
ASV74	3	2	96	56	18	12	7	138	44	0	36	26	218	21	13	31	21	227	237	22	2	219	140	23	1	5	0	313	26	0
ASV75	0	0	23	31	0	0	0	440	1052	0	2	31	0	4	0	0	117	0	4	75	0	0	0	26	0	0	0	107	24	2
ASV76	0	0	164	258	0	0	0	335	240	0	132	180	0	11	48	30	157	0	4	234	0	0	0	5	0	38	42	31	10	4
ASV77	66	16	50	6	76	107	34	23	5	392	62	11	17	0	11	74	273	0	0	82	226	33	5	55	10	39	21	22	0	72
ASV78	0	0	0	0	0	0	0	0	0	0	0	0	335	566	0	0	0	234	634	0	0	0	0	0	0	0	0	0	0	0
ASV79	0	0	156	46	0	0	0	396	161	0	0	0	40	85	0	0	0	139	171	0	0	10	49	83	0	0	0	319	63	1
ASV80	0	0	21	16	0	0	0	783	856	0	0	0	3	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV81	0	2	0	0	0	0	31	0	0	0	0	0	3	4	0	17	0	1	9	0	44	1347	38	7	12	7	137	27	0	0
ASV82	2	0	11	36	0	13	0	21	15	0	40	151	89	34	53	10	88	251	351	74	38	46	55	48	50	30	42	77	21	28
ASV83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1660	0	0	0	0	0
ASV84	0	0	65	38	10	0	0	22	4	0	31	0	30	15	87	58	0	10	64	0	144	479	20	21	131	222	156	12	0	0
ASV85	22	29	7	42	266	82	38	16	0	32	34	43	8	28	26	23	314	3	24	19	105	166	26	37	13	34	33	20	34	84
ASV86	0	0	0	0	0	0	0	0	0	0	118	148	0	0	82	107	95	0	9	0	255	246	0	0	197	154	170	0	0	0
ASV87	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1486	48	0	0	0	0	0	0	0	0	0	0	0
ASV88	5	64	0	6	0	16	8	0	5	31	102	189	0	21	43	95	557	0	27	359	0	0	0	0	0	0	0	0	0	0
ASV89	0	0	36	39	0	0	0	176	1146	0	0	0	0	0	0	0	0	3	9	0	0	0	0	64	0	0	0	42	9	1
ASV90	0	0	12	19	0	0	0	14	8	0	5	26	52	18	0	8	16	10	23	5	160	140	46	476	221	105	93	18	32	0
ASV91	0	4	0	0	5	0	0	0	0	0	44	22	0	0	38	15	46	0	0	0	472	269	0	0	150	211	215	0	0	0
ASV92	0	0	220	140	1	7	36	315	79	0	0	0	44	13	7	0	0	65	125	38	0	0	58	70	0	0	0	232	31	0
ASV93	0	0	21	12	55	41	2	31	49	0	41	128	27	15	0	99	123	146	91	26	59	169	0	7	106	90	47	48	32	0
ASV94	0	0	26	16	0	0	0	52	0	0	0	34	252	53	17	19	30	237	284	39	0	0	41	22	0	0	0	241	51	0
ASV95	0	0	0	0	0	0	0	0	0	0	20	37	0	0	13	31	44	0	0	0	66	63	183	406	64	63	58	165	189	0
ASV96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1396	0	0	0	0	0	0	0	0	0	0	0	0
ASV97	0	0	25	8	0	0	0	32	24	0	3	0	2	6	4	5	0	2	0	1189	55	9	0	0	0	0	13	0	9	0
ASV98	0	0	30	26	0	0	0	22	8	0	72	58	175	22	38	26	57	318	201	67	9	9	40	9	2	9	0	148	16	0
ASV99	0	0	162	58	14	0	0	172	131	0	6	6	0	71	9	0	0	4	194	495	0	0	0	0	15	0	0	0	0	0
ASV100	0	0	0	2	0	0	0	10	5	0	0	0	1306	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV101	0	0	59	53	0	0	22	108	18	0	0	0	17	0	70	17	0	11	17	0	105	135	0	7	82	524	30	0	0	0
ASV102	5	6	6	5	2	2	0	12	12	0	104	91	43	6	93	39	259	17	41	8	62	240	6	12	54	86	28	13	0	0
ASV103	0	0	0	6	0	0	0	6	0	0	12	17	15	13	13	12	0	0	28	0	47	679	4	0	321	25	46	0	0	0
ASV104	0	0	0	0	0	0	0	0	0	0	35	24	0	4	5	6	79	0	1	0	322	224	0	0	186	195	153	0	0	0
ASV105	0	0	0	3	0	0	0	13	8	0	0	0	1209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV106	0	0	0	0	17	17	0	0	5	0	84	127	0	9	16	39	209	3	27	512	0	5	0	8	0	12	9	0	29	99
ASV107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1188	0	0	0	0
ASV108	39	7	0	3	12	0	9	972	5	0	0	0	6	4	0	0	0	0	0	0	40	8	0	0	21	0	41	0	5	0
ASV109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1170	0	0	0	0	0	0	0	0	0	0
ASV110	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	159	0	268	229	0	0	94	82	106	0	0	0
ASV111	0	0	0	0	0	25	0	53	7	0	42	44	115	43	7	14	63	179	108	114	20	36	23	64	27	7	29	118	6	17
ASV112	0	0	0	0	0	0	0	0	0	0	4	30	0	0	0	8	35	0	0	9	211	144	0	0	287	212	201	13	0	0
ASV113	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	7	2	0	0	0	0	0	94	1	1033	0	0	0
ASV114	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	6	390	0	0	38	683	0	0	1	0
ASV115	0	0	0	0	0	0	0	0	1	42	62	58	0	0	51	42	162	0	0	16	234	151	0	0	100	121	65	1	0	0
ASV116	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	18	5	0	0	234	118	45	37	96	132	116	144	34	114
ASV117	22	4	20	10	11	22	0	68	16	0	32	14	41	8	9	7	3	44	74	4	155	72	31	25	112	58	101	66	44	0
ASV118	9	0	61	15	12	0	0	0	18	3	27	29	6	9	72	52	0	101	141	10	117	68	0	31	51	143	32	8	52	0
ASV119	0	0	0	0	0	0	0	4	6	0	30	44	0	0	40	56	84	0	6	41	290	103	0	28	76	82	110	0	21	45
ASV120	32	34	34	1	33	16	20	8	5	40	11	45	7	13	24	20	163	11	24	70	68	12	56	21	28	12	8	19	24	150
ASV121	0	0	0	0	0	0	0	6	25	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	9	956	6	0	0	0
ASV122	0	1	4	0	0	2	13	26	0	0	0	0	0	0	21	0	0	20	0	13	54	387	2	34	281	34	56	48	10	0
ASV123	8	0	0	0	0	0	0	0	0	0	15	27	0	0	9	0	31	0	0	0	365	239	0	4	106	86	101	0	0	0
ASV124	0	0	3	37	0	0	0	146	718	1	0	0	0	0	0	0	0	0	6	0	0	0	0	38	0	0	0	25	0	0
ASV125	3	18	5	4	0	10	179	28	1	0	1	20	12	2	8	0	0	6	325	0	40	49	0	22	76	51	15	50	45	0
ASV126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	0	0	0	0	0	24	0	0
ASV127	0	0	264	80	0	0	0	405	152	0	3	0	0	19	0	0	0	0	28	0	0	0	0	0	0	10	3	0	0	0
ASV128	0	0	0	4	0	0	0	22	3	0	109	78	0	0	54	160	297	0	0	10	87	55	0	0	6	37	31	0	3	0
ASV129	24	33	17	21	22	76	0	7	0	94	8	26	5	0	26	20	94	7	23	37	55	46	13	3	5	29	10	43	30	168
ASV130	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	8	69	9	0	0	0	0	0	0	812	0	0	25	0	0
ASV131	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	13	0	0	0	0	51	12	0	0	0	828	15	0
ASV132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	29	46	5	841	0	0	0
ASV133	0	0	0	49	0	0	9	4	0	0	0	0	2	0	0	0	0	765	41	0	9	11	0	0	10	0	0	20	0	0
ASV134	0	0	0	0	0	0	0	0	0	0	135	45	0	0	37	52	180	35	53	136	0	0	70	42	0	0	22	74	16	0
ASV135	33	38	15	5	110	65	9	27	0	0	5	19	22	11	24	13	41	23	27	0	81	108	0	15	0	61	94	7	23	0
ASV136	12	0	7	9	17	59	0	3	3	0	0	24	10	3	0	0	33	13	27	28	50	8	0	8	48	86	67	276	21	60
ASV137	0	5	7	2	0	0	0	0	5	0	14	0	2	1	14	0	15	36	20	0	64	77	5	29	162	222	143	21	13	0
ASV138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	308	0	0	0	180	266	0
ASV139	0	0	0	0	0	0	0	837	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV140	0	4	24	7	21	16	0	0	25	0	23	32	13	27	65	7	0	94	131	0	129	4	0	26	36	53	34	49	25	0
ASV141	43	38	22	0	118	111	159	9	9	0	69	50	0	0	30	87	98	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV142	0	0	0	16	0	0	0	21	9	0	2	0	27	8	8	6	24	3	4	12	89	192	0	40	188	142	52	0	0	0
ASV143	0	0	9	20	0	0	0	19	39	0	3	14	8	14	0	0	0	467	0	0	43	31	0	7	86	39	13	28	0	0
ASV144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	233	0	0	170	105	117	0	0	9
ASV145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	835	0	0	0	0	0
ASV146	32	45	7	10	62	15	49	0	0	190	0	0	7	15	28	0	0	8	15	11	27	67	11	34	45	14	11	17	34	78
ASV147	0	0	8	2	0	0	0	8	13	0	22	56	209	17	7	27	58	10	8	0	140	24	0	0	37	97	29	37	18	0
ASV148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	755	38	0	0	9	0	0	0	0	0	0	12	0
ASV149	7	10	41	12	27	44	32	10	0	0	61	67	17	46	38	56	91	18	26	6	0	32	53	40	0	56	0	0	7	7
ASV150	0	0	0	0	0	0	0	0	0	0	85	76	0	11	18	50	209	0	13	254	6	53	0	7	13	6	0	0	0	0
ASV151	3	5	0	3	45	14	36	179	18	0	7	0	6	65	0	3	0	11	16	0	65	146	7	20	7	37	28	22	42	0
ASV152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	133	37	0	24	116	144	103	11	63	142
ASV153	20	0	4	0	12	3	13	14	8	0	13	35	29	7	0	0	38	7	19	3	145	93	17	49	50	75	16	23	51	38
ASV154	0	0	210	117	0	0	0	190	90	0	11	0	0	4	2	10	3	35	16	14	0	47	0	0	0	0	0	20	0	0
ASV155	0	0	12	0	0	3	12	12	6	0	0	27	40	0	0	30	194	22	86	31	56	34	0	38	71	46	37	0	10	0
ASV156	0	0	0	0	0	0	0	6	0	0	0	18	212	28	3	3	0	176	248	8	0	0	16	6	10	0	11	8	0	0
ASV157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	705	0	0	0
ASV158	0	0	0	0	0	0	0	0	3	0	15	80	0	0	11	12	65	0	0	12	191	153	0	0	75	89	27	0	0	0
ASV159	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	718	0	0	0	0	0	0	0	0	0	0
ASV160	0	0	0	0	0	0	0	0	0	60	0	0	213	216	0	0	0	108	133	0	0	0	0	0	0	0	0	0	0	0
ASV161	0	0	110	51	0	0	0	284	147	0	0	0	3	6	0	0	0	21	63	0	0	0	0	7	0	0	0	29	7	0
ASV162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724	0	0	0	0	0
ASV163	0	0	0	0	72	79	0	0	1	0	0	0	0	0	0	0	0	0	10	9	0	155	0	0	112	268	13	0	0	0
ASV164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	8	0	0	0	0	153	0	0	0
ASV165	0	0	0	0	0	0	0	0	0	0	0	20	0	0	12	15	28	5	0	20	242	163	0	0	61	58	61	0	0	0
ASV166	0	0	0	0	27	0	0	0	0	0	0	67	0	0	0	15	38	0	0	0	97	38	0	0	65	154	135	0	0	44
ASV167	5	0	15	13	0	0	0	5	5	0	21	0	7	7	0	0	0	9	0	0	159	230	2	0	79	76	36	0	7	0
ASV168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674	0	0	0	0	0	0
ASV169	0	0	0	0	0	0	0	0	0	0	7	23	0	0	0	0	5	0	6	0	217	249	0	0	55	42	65	0	0	0
ASV170	2	0	0	0	0	0	0	0	0	0	150	185	0	0	51	73	143	0	0	11	34	0	0	0	0	0	19	0	0	0
ASV171	0	0	181	95	0	0	0	239	127	0	0	0	0	7	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV172	0	0	0	0	0	0	0	0	0	0	0	0	107	62	0	0	0	121	366	0	0	0	0	0	0	0	0	0	0	0
ASV173	0	0	0	0	0	0	0	10	0	0	16	29	0	0	20	12	22	0	0	0	87	75	1	0	242	70	62	3	1	0
ASV174	0	0	0	14	0	0	0	5	1	0	0	0	0	15	0	0	0	382	190	0	0	16	0	8	0	0	0	0	0	0
ASV175	0	0	0	0	0	6	0	5	0	0	97	105	0	5	30	72	147	0	0	63	0	0	0	14	21	10	0	0	55	0
ASV176	0	0	0	0	0	0	0	0	0	0	0	0	81	157	0	0	0	57	320	0	0	0	0	3	0	0	0	3	0	0
ASV177	15	33	19	2	26	27	0	19	6	0	6	7	7	2	9	0	64	0	0	29	24	0	0	33	44	16	33	76	0	120
ASV178	0	7	0	5	17	0	0	0	3	0	0	0	18	16	37	56	29	41	114	10	21	10	7	22	34	119	0	38	11	0
ASV179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	0	0	0	0	0
ASV180	6	0	0	0	13	0	0	35	5	0	11	0	0	0	0	14	0	5	0	0	145	191	27	7	20	48	40	0	43	0
ASV181	4	0	14	22	0	0	25	55	31	0	21	15	8	10	1	4	0	49	15	0	32	63	10	45	53	64	41	8	17	0
