	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30
ASV827	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	65	0	0	0	0	0	0	0	107	0
ASV828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV829	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0
ASV830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	32	0	0	66	0	168	0	0	0
ASV832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	114	0	0	56	93	0	0	0	0
ASV833	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0
ASV834	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV835	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	106	0	0	0
ASV836	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0
ASV837	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV838	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	108	138	0
ASV840	203	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV841	0	0	37	0	0	0	0	0	0	0	0	0	0	0	104	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV842	0	0	0	0	89	0	0	0	60	0	0	0	0	0	46	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0
ASV844	0	0	0	0	0	0	0	0	0	0	77	0	0	0	80	0	0	0	0	0	8	0	0	0	0	0	0	0	102	0
ASV845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0
ASV846	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	98	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV847	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0
ASV848	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	45	0	4	0	0	0	0	0	0	0	167	0	0	0	0
ASV849	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	25	0	0	0	0	0	0	0	38	163	0	0
ASV850	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	107	0	0	0
ASV852	0	0	0	0	0	0	0	146	116	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV854	54	24	13	0	87	20	30	0	0	0	4	0	0	0	0	21	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV855	0	0	0	53	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV856	0	0	0	0	0	0	0	0	0	0	46	0	0	0	89	64	0	0	0	0	0	28	0	0	0	0	0	36	0	0
ASV857	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0
ASV858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0
ASV859	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	20	0	0	0	0	61	0	0	68	0	95	0	0	0
ASV860	0	0	0	0	0	0	0	0	0	0	0	0	27	148	0	0	0	19	68	0	0	0	0	0	0	0	0	0	0	0
ASV861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0
ASV863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0
ASV864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0
ASV865	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV866	0	0	0	0	0	0	0	9	0	0	43	0	0	0	0	82	0	0	0	0	9	0	0	0	0	0	117	0	0	0
ASV867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	19	0	0	79	0	0	0	0	0	0	0	0	0
ASV868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0
ASV869	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV870	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0
ASV871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0
ASV872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	172	0	0	0
ASV873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0
ASV874	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	19	32	0	27	0	16	68	0	0	0	0	0	0
ASV875	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	7	0	34	0	0	0	0	0	57	0	96	0
ASV876	0	0	0	0	0	0	0	0	0	0	38	0	0	0	38	0	94	8	0	0	10	0	0	0	0	0	69	0	0	0
ASV877	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0
ASV878	0	0	113	57	0	0	0	47	31	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV879	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV880	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV881	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	62	0	0	0	0	176	0	0	0
ASV882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0
ASV883	20	82	0	0	117	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	41	0	0	0	77	124	0	0	0
ASV885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0
ASV886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0
ASV887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0
ASV888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0
ASV889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0
ASV890	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV891	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV892	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248
ASV894	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0
ASV895	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0
ASV896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV897	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV898	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	12	0	0	31	0	0	50	91	0	0	0	0
ASV899	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0
ASV901	0	0	0	0	0	0	0	0	0	0	0	108	0	40	0	0	0	0	0	0	0	0	25	0	0	71	0	0	0	0
ASV902	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0
ASV903	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	156	0	18	0	0	37	0	0	0	6	0	0	0	0
ASV904	0	0	0	0	0	0	0	0	0	0	0	0	0	71	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV905	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	113	0	0	0	0	0
ASV906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0
ASV909	0	0	64	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ASV910	0	0	0	0	73	0	0	0	0	0	0	0	3	13	0	48	0	0	0	0	0	0	0	0	0	0	0	0	104	0
ASV911	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0
ASV913	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV914	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV915	0	0	0	0	0	0	0	61	0	0	43	0	0	0	0	0	33	21	0	0	24	33	0	0	0	22	0	0	0	0
ASV916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0
ASV917	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0
ASV919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0
ASV920	36	21	3	5	102	3	42	0	0	0	0	5	0	0	11	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV921	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV922	0	0	0	0	0	0	0	0	0	0	0	0	45	91	0	0	0	19	80	0	0	0	0	0	0	0	0	0	0	0
ASV923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	81	0	0	0	0	0	0	0	0	0	0	0
ASV924	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	6	133	0	0	0
ASV925	211	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV926	0	0	0	0	0	185	0	0	0	0	0	0	0	0	37	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
ASV927	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	31	0	0	4	37	0	0	0	0	0	0	0	0
ASV928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0
ASV930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	97	0	0	0	0
ASV931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0
ASV932	0	0	73	5	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	45	0	10	0	0	0	0	0	0
ASV933	0	0	0	0	0	0	0	41	0	0	0	0	102	0	0	0	0	0	17	0	0	17	0	0	0	55	0	0	0	0
ASV934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	58	0	0
ASV935	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV936	0	0	0	0	0	0	0	0	37	0	32	0	0	0	57	0	13	0	0	0	0	0	0	0	49	0	42	1	0	0
ASV937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0
ASV938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	72	0
ASV939	0	0	0	0	0	0	0	68	0	0	16	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV940	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	96	91	0	0	0	0	0	0	0	0	0	0	0
ASV941	0	0	0	0	0	0	0	0	0	0	0	0	142	30	0	0	0	3	48	0	7	0	0	0	0	0	0	0	0	0
ASV942	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	71	0	0	0
ASV943	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	47	6	21	0	0	0	43	0	93	0	0	0	0	0
ASV944	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0
ASV947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0
ASV948	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	174	0	0	0	0
ASV949	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0
ASV950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0
ASV951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0
ASV952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0
ASV954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0
ASV955	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV956	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV957	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	35	0	0	0	0
ASV958	0	0	0	87	0	0	0	0	0	0	0	51	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	47	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	87	0	0	0	0	0	0	0	0
ASV961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	55	37	0	0	79	0	0	46	0
ASV962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0
ASV963	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV964	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	82	0	0	0	0	0	0	0	0	112	0	0	0	0	0
ASV965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	128	0	0	0	0
ASV966	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
ASV967	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	29	34	32	0	109	0	0	0	0
ASV969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0
ASV970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0
ASV971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0
ASV972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222
ASV973	0	0	0	0	0	0	0	137	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	177	0	0	0
ASV976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	21	0	171	0	0	0	0
ASV977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0
ASV978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0
ASV979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0
ASV980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221
ASV981	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV982	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV983	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220
ASV986	0	0	16	11	0	0	0	0	0	0	25	54	0	0	12	41	33	0	0	0	0	0	0	0	7	0	20	0	0	0
ASV987	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	55	64	0	0
ASV988	0	0	0	0	0	0	0	0	0	0	0	65	0	12	0	0	0	0	1	84	0	57	0	0	0	0	0	0	0	0
ASV989	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0
ASV991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0
ASV993	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0
ASV994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0
ASV995	0	103	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0
ASV996	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV997	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
ASV998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	46	0	0	78	0
ASV999	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0
ASV1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	13	0	17	134
ASV1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	81	0	0	0
ASV1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	197	0	0
ASV1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0
ASV1005	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	44	56	0	0	0	0	0	0	0	0	0	0	0
ASV1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0
ASV1007	0	0	151	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0
ASV1008	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1009	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1010	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	88	0	0	94	0	0	0	0	0
ASV1012	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1013	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ASV1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0
ASV1015	0	0	94	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1016	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	50	0	0	0	0	148	0	0	0	0
ASV1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	177	0	0	0	0	0	0	0	0	0
ASV1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210
ASV1019	24	0	0	0	0	0	0	0	0	0	27	75	0	0	0	17	0	0	21	0	31	0	0	0	14	0	0	0	0	0
ASV1020	30	26	0	0	36	72	37	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1021	0	0	0	178	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0
ASV1023	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1024	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	56	0	0	0	0
ASV1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	57	0	63	0
ASV1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0
ASV1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0
ASV1030	0	54	0	0	21	78	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1031	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	4	9	0	0	152	0	5	0	0	0	0	0	0
ASV1032	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0
ASV1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0
ASV1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	159	0
ASV1035	127	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	15	0	0	36	0	0	9	0	0	0	0	0	0
ASV1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0
ASV1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	112	0
ASV1039	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
