"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_3912","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Dactylonectria","s__macrodidyma"
"ASV_3913","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae","g__Fimicolochytrium",NA
"ASV_3914","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales","f__Leucosporidiaceae","g__Leucosporidium","s__fellii"
"ASV_3915","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Sterellum","s__rufum"
"ASV_3916","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"ASV_3917","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3918","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3919","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3920","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3921","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_3922","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3923","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_3924","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3925","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_3926","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe",NA
"ASV_3927","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA
"ASV_3928","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_3929","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Ascosphaerales","f__Ascosphaeraceae","g__Ascosphaera","s__subglobosa"
"ASV_3930","k__Fungi",NA,NA,NA,NA,NA,NA
